id,age
id_1,25
id_2,26
id_3,27
id_4,28
id_5,29
id_6,15
id_7,16
id_8,20
id_9,24
id_10,25
id_11,26
id_12,27
id_13,28
id_14,29
id_15,15
id_16,16
id_17,20
id_18,24
id_19,25
id_20,26
id_21,27
id_22,28
id_23,29
id_24,15
id_25,16
id_26,20
id_27,24
id_28,25
id_29,26
id_30,27
id_31,28
id_32,29
id_33,15
id_34,16
id_35,20
id_36,24
id_37,25
id_38,26
id_39,27
id_40,28
id_41,29
id_42,15
id_43,16
id_44,20
id_45,24
id_46,25
id_47,26
id_48,27
id_49,28
id_50,29
id_51,15
id_52,16
id_53,20
id_54,24
id_55,25
id_56,26
id_57,27
id_58,28
id_59,29
id_60,15
id_61,16
id_62,20
id_63,24
id_64,25
id_65,26
id_66,27
id_67,28
id_68,29
id_69,15
id_70,16
id_71,20
id_72,24
id_73,25
id_74,26
id_75,27
id_76,28
id_77,29
id_78,15
id_79,16
id_80,20
id_81,24
id_82,25
id_83,26
id_84,27
id_85,28
id_86,29
id_87,15
id_88,16
id_89,20
id_90,24
id_91,25
id_92,26
id_93,27
id_94,28
id_95,29
id_96,15
id_97,16
id_98,20
id_99,24
id_100,25
id_101,26
id_102,27
id_103,28
id_104,29
id_105,15
id_106,16
id_107,20
id_108,24
id_109,25
id_110,26
id_111,27
id_112,28
id_113,29
id_114,15
id_115,16
id_116,20
id_117,24
id_118,25
id_119,26
id_120,27
id_121,28
id_122,29
id_123,15
id_124,16
id_125,20
id_126,24
id_127,25
id_128,26
id_129,27
id_130,28
id_131,29
id_132,15
id_133,16
id_134,20
id_135,24
id_136,25
id_137,26
id_138,27
id_139,28
id_140,29
id_141,15
id_142,16
id_143,20
id_144,24
id_145,25
id_146,26
id_147,27
id_148,28
id_149,29
id_150,15
id_151,16
id_152,20
id_153,24
id_154,25
id_155,26
id_156,27
id_157,28
id_158,29
id_159,15
id_160,16
id_161,20
id_162,24
id_163,25
id_164,26
id_165,27
id_166,28
id_167,29
id_168,15
id_169,16
id_170,20
id_171,24
id_172,25
id_173,26
id_174,27
id_175,28
id_176,29
id_177,15
id_178,16
id_179,20
id_180,24
id_181,25
id_182,26
id_183,27
id_184,28
id_185,29
id_186,15
id_187,16
id_188,20
id_189,24
id_190,25
id_191,26
id_192,27
id_193,28
id_194,29
id_195,15
id_196,16
id_197,20
id_198,24
id_199,25
id_200,26
id_201,27
id_202,28
id_203,29
id_204,15
id_205,16
id_206,20
id_207,24
id_208,25
id_209,26
id_210,27
id_211,28
id_212,29
id_213,15
id_214,16
id_215,20
id_216,24
id_217,25
id_218,26
id_219,27
id_220,28
id_221,29
id_222,15
id_223,16
id_224,20
id_225,24
id_226,25
id_227,26
id_228,27
id_229,28
id_230,29
id_231,15
id_232,16
id_233,20
id_234,24
id_235,25
id_236,26
id_237,27
id_238,28
id_239,29
id_240,15
id_241,16
id_242,20
id_243,24
id_244,25
id_245,26
id_246,27
id_247,28
id_248,29
id_249,15
id_250,16
id_251,20
id_252,24
id_253,25
id_254,26
id_255,27
id_256,28
id_257,29
id_258,15
id_259,16
id_260,20
id_261,24
id_262,25
id_263,26
id_264,27
id_265,28
id_266,29
id_267,15
id_268,16
id_269,20
id_270,24
id_271,25
id_272,26
id_273,27
id_274,28
id_275,29
id_276,15
id_277,16
id_278,20
id_279,24
id_280,25
id_281,26
id_282,27
id_283,28
id_284,29
id_285,15
id_286,16
id_287,20
id_288,24
id_289,2000000
